Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance,Debtor
100000001,Simon,Walsh,Male,21,England,White Collar,05.Jan.15,113810.15,United States
400000002,Jasmine,Miller,Female,34,Northern Ireland,Blue Collar,06.Jan.15,36919.73,Italy
100000003,Liam,Brown,Male,46,England,White Collar,07.Jan.15,101536.83,United States
300000004,Trevor,Parr,Male,32,Wales,White Collar,08.Jan.15,1421.52,Britain
100000005,Deirdre,Pullman,Female,38,England,Blue Collar,09.Jan.15,35639.79,United States
300000006,Ava,Coleman,Female,30,Wales,Blue Collar,09.Jan.15,122443.77,United States
100000007,Dorothy,Thomson,Female,34,England,Blue Collar,11.Jan.15,42879.84,Britain
200000008,Lisa,Knox,Female,48,Scotland,Other,11.Jan.15,36680.17,United States
300000009,Ruth,Campbell,Female,33,Wales,White Collar,11.Jan.15,74284.35,Spain
100000010,Dominic,Parr,Male,42,England,White Collar,12.Jan.15,10912.45,Germany
100000011,Dominic,Lewis,Male,40,England,White Collar,12.Jan.15,39667.83,Germany
100000012,Benjamin,Grant,Male,39,England,White Collar,12.Jan.15,32281.62,Portugal
100000013,Ryan,MacDonald,Male,24,England,White Collar,12.Jan.15,40781.63,Spain
200000014,Thomas,Lawrence,Male,46,Scotland,Other,12.Jan.15,48791.46,Greece
300000015,Madeleine,Marshall,Female,36,Wales,Other,12.Jan.15,2846.03,Germany
100000016,Nicholas,Newman,Male,42,England,White Collar,14.Jan.15,2116.85,Ireland
200000017,Grace,Hill,Female,31,Scotland,Other,14.Jan.15,10356.31,Italy
200000018,Samantha,Coleman,Female,42,Scotland,Other,14.Jan.15,3801.69,Portugal
100000019,William,Ince,Male,40,England,Blue Collar,15.Jan.15,65534.69,Britain
100000020,Audrey,Jones,Female,46,England,Blue Collar,15.Jan.15,11462.64,Italy
300000021,Boris,Johnston,Male,37,Wales,Other,16.Jan.15,31778.9,Spain
200000022,Jason,Butler,Male,58,Scotland,Blue Collar,18.Jan.15,21252.97,France
300000023,Deirdre,McDonald,Female,41,Wales,White Collar,18.Jan.15,66785.78,Portugal
200000024,Carl,Quinn,Male,52,Scotland,Blue Collar,19.Jan.15,6580.81,Greece
100000025,Jennifer,Hughes,Female,38,England,White Collar,20.Jan.15,20505.32,Ireland
200000026,Richard,Fraser,Male,55,Scotland,Blue Collar,21.Jan.15,43249.26,Portugal
400000027,Rachel,McGrath,Female,37,Northern Ireland,White Collar,23.Jan.15,3967.2,Ireland
100000028,Alison,Fisher,Female,33,England,White Collar,25.Jan.15,3428.56,Britain
200000029,Lucas,Mackenzie,Male,50,Scotland,Blue Collar,25.Jan.15,20516.1,Ireland
100000030,Luke,Wilkins,Male,42,England,White Collar,27.Jan.15,10813.83,Greece
100000031,Megan,Bell,Female,25,England,White Collar,28.Jan.15,38889.76,Italy
300000032,Warren,Edmunds,Male,30,Wales,White Collar,28.Jan.15,14094.01,Japan
200000033,Grace,Chapman,Female,58,Scotland,Other,29.Jan.15,25865.2,Spain
100000034,Jake,Wilson,Male,26,England,Other,30.Jan.15,5833.62,Ireland
100000035,Karen,Dyer,Female,34,England,Blue Collar,31.Jan.15,77809.59,Greece
100000036,Yvonne,Thomson,Female,36,England,White Collar,31.Jan.15,31680.67,Italy
100000037,Sophie,Gill,Female,33,England,White Collar,31.Jan.15,20504.37,Greece
100000038,Robert,Cornish,Male,31,England,Other,31.Jan.15,5688.36,Ireland
200000039,Luke,Martin,Male,35,Scotland,Blue Collar,31.Jan.15,12848.59,Portugal
200000040,Gavin,Pullman,Male,59,Scotland,Other,31.Jan.15,114456.23,Greece
100000041,Edward,Terry,Male,27,England,Blue Collar,01.Feb.15,51412.6,Portugal
100000042,Diane,Black,Female,35,England,White Collar,01.Feb.15,9695.7,Greece
